Code UIC;uic7;Libelle point d'arret;Libelle;Libelle STIF (info voyageurs);Libelle SMS gare;Nom Gare;Adresse;Code INSEE commune;Commune;X (Lambert II etendu);Y (Lambert II etendu);Coord GPS (WGS84);Zone Navigo;Gare non SNCF
87543090;875430;ANGERVILLE;ANGERVILLE;GARE D'ANGERVILLE;;Angerville;;91016;Angerville;575307.0;2368091.0;48.3113344052, 2.00368952585;5.0;0.0
87394130;873941;MAINTENON;MAINTENON;GARE DE MAINTENON;;Maintenon;;28227;Maintenon;545086.0;2398780.0;48.5853643047, 1.59245485785;100.0;0.0
87415604;874156;VERNON;VERNON;GARE DE VERNON;;Vernon;;27681;Vernon;537281.0;2455154.0;49.0912857364, 1.47836264478;100.0;0.0
87276592;872765;GROS NOYER SAINT-PRIX;GROS NOYER SAINT-PRIX;GARE DE GROS NOYER ST PRIX;Gros Noyer;Gros Noyer Saint-Prix;Rue du gros Noyer 95120 Ermont;95219;Ermont;594300.0;2444335.0;48.9971223075, 2.25865802489;4.0;0.0
87381137;873811;ASNIERES SUR SEINE;ASNIERES SUR SEINE;GARE D'ASNIERES;Asnières;Asnières-sur-Seine;Rue de la Station 92600 Asnières sur Seine;92004;Asnières-sur-Seine;596099.0;2434169.0;48.9057768994, 2.28332241877;3.0;0.0
87381129;873811;CLICHY LEVALLOIS;CLICHY LEVALLOIS;GARE DE CLICHY LEVALLOIS;Clichy-L.;Clichy - Levallois-Perret;5 place du 8 mai 1945 92110 Clichy;92044;Clichy;597203.0;2433183.0;48.8969214742, 2.29837992753;2.0;0.0
87381079;873810;BOIS COLOMBES;BOIS COLOMBES;GARE DE BOIS COLOMBES;B. Colombes;Bois-Colombes;1 Place Gabriel Péri 92270 Bois Colombes;92009;Bois-Colombes;595304.0;2435033.0;48.9135363059, 2.27247445772;3.0;0.0
87381483;873814;MAURECOURT;MAURECOURT;GARE DE MAURECOURT;Maurécourt;Maurecourt;Rue de Bel Air 78570 Andrésy;78015;Andrésy;579728.0;2443253.0;48.9871023339, 2.05969989674;5.0;0.0
87276634;872766;TAVERNY;TAVERNY;GARE DE TAVERNY;Taverny;Taverny;Place de la gare 95150 Taverny;95607;Taverny;591603.0;2447484.0;49.0253901291, 2.22176165616;4.0;0.0
87281873;872818;MAGENTA;MAGENTA;MAGENTA;Magenta;Magenta;160 rue La Fayette 75010 Paris;75110;Paris;601528.0;2431239.0;48.8794550031, 2.35732593188;1.0;0.0
87381582;873815;LIMAY;LIMAY;GARE DE LIMAY;Limay;Limay;Boulevard Pasteur 78520 Limay;78335;Limay;556834.0;2443052.0;48.9841604689, 1.74712329464;5.0;0.0
87276402;872764;SAINT-LEU D'ESSERENT;SAINT-LEU D'ESSERENT;GARE DE ST LEU D ESSERENT;;Saint-Leu-d'Esserent;;60584;Saint-Leu-d'Esserent;605954.0;2468490.0;49.2141661856, 2.41815751212;100.0;0.0
87276410;872764;PRECY SUR OISE;PRECY SUR OISE;GARE DE PRECY SUR OISE;;Précy-sur-Oise;;60513;Précy-sur-Oise;602907.0;2467271.0;49.203234752, 2.37636060597;100.0;0.0
87682153;876821;LIEUSAINT MOISSY;LIEUSAINT MOISSY;GARE DE LIEUSAINT MOISSY;Lieusaint M.;Lieusaint - Moissy-Cramayel;Gare SNCF 77127 Lieusaint;77296;Moissy-Cramayel;617223.0;2403341.0;48.6284764876, 2.57006099644;5.0;0.0
87682518;876825;BOISSISE LE ROI;BOISSISE LE ROI;GARE DE BOISSISE LE ROI;Boissise;Boissise-le-Roi;Rue de Ponthierry 77310;77040;Boissise-le-Roi;617472.0;2392350.0;48.5296683347, 2.57299051053;5.0;0.0
87684126;876841;NEMOURS SAINT-PIERRE;NEMOURS SAINT-PIERRE;GARE DE NEMOURS ST PIERRE;;Saint-Pierre-lès-Nemours;1 Bis Avenue Carnot 77140 Saint-Pierre-les-Nemours;77431;Saint-Pierre-lès-Nemours;625925.0;2363266.0;48.2679088703, 2.68565411114;5.0;0.0
