Pays;Secteur;Type;Nom;WGS 84;Adresse;Département;Code postal;Ville;Lundi;Mardi;Mercredi;Jeudi;Vendredi ;Samedi;Dimanche et fêtes;Ouvert le lundi;Ouvert le mardi;Ouvert le mercredi;Ouvert le jeudi;Ouvert le vendredi;Ouvert le samedi;Ouvert le dimanche;Rendez-vous;GUICHET VENTE VOYAGES;BLS
(borne libre service);lu;ma;me;je;ve;LU - VE;Ouvert lundi - vendredi;Particularités;Particularités EN;Particularités ES;Particularités DE;Particularités IT;Particularités NL;Dates d'ouverture
si pdv saisonnier;Dates d'ouverture si pdv saisonnier EN;Dates d'ouverture si pdv saisonnier ES;Dates d'ouverture si pdv saisonnier DE;Dates d'ouverture si pdv saisonnier IT;Dates d'ouverture si pdv saisonnier NL;Si travaux, 
dates de fermeture;Si travaux, dates de fermeture EN;Si travaux, dates de fermeture ES;Si travaux, dates de fermeture DE;Si travaux, dates de fermeture IT;Si travaux, dates de fermeture NL;URL profonde service rendez-vous 
France;SUD-EST;Gare;LAROCHE MIGENNES;47.96085339, 3.5129407;22 place Paul Bert;89;89400.0;Laroche Migennes;6:00-20:00;6:00-20:00;6:00-20:00;6:00-20:00;6:00-20:00;6:15-19:30;8:00-21:00;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BLS SEULE;SAVIGNY LE TEMPLE;48.594991, 2.582493;PLACE DU 19 MARS 1962;77;77176.0;Savigny le temple;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;non;oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;EST;GARE;CHAMPAGNE-ARDENNE TGV;49.21515, 3.995812;Route de Sacy;51;51430.0;BEZANNES;6:05-21:00;6:45-21:00;6:45-21:00;6:45-21:00;6:45-21:00;6:45-21:00;7:30-21:00;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;EST;Gare;CARIGNAN GARE;49.62852048, 5.16846771;Avenue de la Gare;08;8110.0;Carignan;8:10-11:5 & 14:05-15:00;8:10-11:5 & 14:05-15:00;8:10-11:5 & 14:05-15:00;8:10-11:5 & 14:05-15:00;8:10-11:5 & 14:05-15:00;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;EST;GARE;CHALONS EN CHAMPAGNE;48.955035, 4.348264;Avenue de la gare;51;51010.0;CHALONS EN CHAMPAGNE;5:45-20:00;5:45-20:00;5:45-20:00;5:45-20:00;5:45-20:00;5:45-20:00;11:55-20:00;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;EST;Gare;GIVET;50.14025278, 4.81793944;Place de la Gare;08;8600.0;Givet;9:40-12:30 & 14:00-18:25;9:40-12:30 & 14:00-18:25;9:40-12:30 & 14:00-18:25;9:40-12:30 & 14:00-18:25;9:40-12:30 & 14:00-18:25;9:40-12:30 & 14:00-18:25;9:40-12:30 & 14:00-18:25;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;EST;Gare;GUIGNICOURT;49.43545035, 3.96077204;24 av Général de Gaulle;02;2190.0;Guignicourt;6:30-13:30;6:30-13:30;6:30-13:30;6:30-13:30;6:30-13:30;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;EST;Gare;LANGRES;47.87725486, 5.34468027;Place de la Gare;52;52200.0;Langres;5:15-12:15 & 13:00-20:00;5:15-12:15 & 13:00-20:00;5:15-12:15 & 13:00-20:00;5:15-12:15 & 13:00-20:00;5:15-12:15 & 14:00-21:00;8:45-12:00 & 13:45-17:30;14:00-21:00;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;EST;Gare;MONTHERME;49.86554941, 4.74099611;Place de la Gare - Route de Bogny;08;8800.0;Montherme;6:40-10:20;6:40-10:20;6:40-10:20;6:40-10:20;6:40-10:20;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;EST;Gare;NOGENT SUR SEINE;48.49783702, 3.4937079;Place Jean Moulin/D919;10;10400.0;Nogent sur Seine;5:30-12:30 & 13:00-20:10;5:30-12:30 & 13:00-20:10;5:30-12:30 & 13:00-20:10;5:30-12:30 & 13:00-20:10;5:30-12:30 & 13:00-20:10;6:00-12:40 & 13:45-20:40;8:30-14:00 & 14:40-21:40;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
